cosmx_threshold,f1_gain,f1_loss,f1_mean,accuracy_3class
0.016219,0.6931818181818182,0.1005586592178771,0.39687023869984767,0.8125544899738448
0.016371,0.6931818181818182,0.1005586592178771,0.39687023869984767,0.8125544899738448
0.017259,0.6900584795321637,0.10344827586206896,0.3967533776971163,0.8177855274629469
0.017477,0.6900584795321637,0.10344827586206896,0.3967533776971163,0.8177855274629469
0.02034,0.6838709677419355,0.10909090909090909,0.3964809384164223,0.8291194420226679
0.01571,0.6927374301675978,0.1,0.3963687150837989,0.8108108108108109
0.017156,0.6900584795321637,0.10227272727272728,0.3961656034024455,0.8160418482999128
0.017241,0.6900584795321637,0.10227272727272728,0.3961656034024455,0.8160418482999128
0.016832,0.6896551724137931,0.10227272727272728,0.3959639498432602,0.8151700087183958
0.015219,0.6927374301675978,0.0989010989010989,0.39581926453434835,0.8090671316477768
0.015619,0.6927374301675978,0.0989010989010989,0.39581926453434835,0.8090671316477768
0.016819,0.6896551724137931,0.1016949152542373,0.3956750438340152,0.8142981691368788
0.016459,0.6896551724137931,0.10112359550561797,0.3953893839597056,0.8134263295553618
0.016475,0.6896551724137931,0.10112359550561797,0.3953893839597056,0.8134263295553618
0.014126,0.6923076923076923,0.09782608695652174,0.395066889632107,0.8064516129032258
0.014363,0.6923076923076923,0.09782608695652174,0.395066889632107,0.8064516129032258
0.016121,0.6892655367231638,0.1,0.3946327683615819,0.8108108108108109
0.01399,0.6923076923076923,0.0967741935483871,0.3945409429280397,0.8047079337401918
0.014092,0.6923076923076923,0.0967741935483871,0.3945409429280397,0.8047079337401918
0.01685,0.686046511627907,0.10227272727272728,0.39415961945031713,0.8151700087183958
0.014965,0.6888888888888889,0.09836065573770492,0.3936247723132969,0.8073234524847428
0.0148,0.6888888888888889,0.09782608695652174,0.3933574879227053,0.8064516129032258
0.015873,0.6853932584269663,0.1,0.39269662921348314,0.8099389712292938
0.015959,0.6853932584269663,0.1,0.39269662921348314,0.8099389712292938
0.020763,0.6753246753246753,0.10975609756097561,0.39254038644282546,0.8291194420226679
0.02095,0.6753246753246753,0.10975609756097561,0.39254038644282546,0.8291194420226679
0.01464,0.6850828729281768,0.09782608695652174,0.3914544799423493,0.8055797733217088
0.013516,0.6847826086956522,0.0967741935483871,0.39077840112201967,0.8029642545771578
0.021564,0.6666666666666666,0.11180124223602485,0.38923395445134573,0.8317349607672189
0.021251,0.6666666666666666,0.11180124223602485,0.38923395445134573,0.8308631211857018
0.021458,0.6666666666666666,0.11180124223602485,0.38923395445134573,0.8308631211857018
0.01348,0.6810810810810811,0.0967741935483871,0.3889276373147341,0.8020924149956408
0.021247,0.6666666666666666,0.1111111111111111,0.38888888888888884,0.8299912816041848
0.021189,0.6666666666666666,0.10975609756097561,0.3882113821138211,0.8282476024411508
0.023784,0.6621621621621622,0.11392405063291139,0.3880431063975368,0.8343504795117699
0.023809,0.6621621621621622,0.11392405063291139,0.3880431063975368,0.8343504795117699
0.022972,0.6621621621621622,0.1125,0.3873310810810811,0.8326068003487358
0.023341,0.6621621621621622,0.1125,0.3873310810810811,0.8326068003487358
0.013402,0.6774193548387096,0.0967741935483871,0.3870967741935484,0.8012205754141238
