snpatho_threshold,auc_gain,auc_loss,auc_mean,n_truth_gain,n_truth_loss
0.007668,0.8976047904191616,0.9008416926092471,0.8992232415142043,167,118
0.01482,0.9353390639923591,0.8630264564864958,0.8991827602394274,100,53
0.014859,0.9353390639923591,0.8630264564864958,0.8991827602394274,100,53
0.008607,0.899581137168029,0.8984543493889289,0.8990177432784789,159,107
0.008626,0.899581137168029,0.8984543493889289,0.8990177432784789,159,107
0.007906,0.899186961914938,0.8987276710481967,0.8989573164815674,166,115
0.013778,0.9274981881175868,0.8704078503526527,0.8989530192351197,109,60
0.015777,0.9427673603956316,0.8551119177253479,0.8989396390604898,92,45
0.015782,0.9427673603956316,0.8551119177253479,0.8989396390604898,92,45
0.015687,0.9427471661514215,0.8551119177253479,0.8989295419383847,94,45
0.013477,0.9267365821419875,0.8708636836628512,0.8988001329024193,111,62
0.014908,0.9353390639923591,0.8622058306989814,0.8987724473456702,100,52
0.013775,0.927079863241869,0.8704078503526527,0.8987438567972608,110,60
0.007382,0.8930218556204468,0.9043822471011596,0.8987020513608032,170,122
0.007395,0.8930218556204468,0.9043822471011596,0.8987020513608032,170,122
0.010999,0.909999079980373,0.8872636815920398,0.8986313807862064,128,75
0.013652,0.9267365821419875,0.8704078503526527,0.8985722162473201,111,60
0.013773,0.9267365821419875,0.8704078503526527,0.8985722162473201,111,60
0.008704,0.8986893806555657,0.8984543493889289,0.8985718650222473,158,107
0.014983,0.9363385766057521,0.8604551309574926,0.8983968537816224,99,51
0.01163,0.9121076442330115,0.8841993826688095,0.8981535134509104,126,73
0.007081,0.8942807321411852,0.9018372703412074,0.8980590012411963,176,127
0.008973,0.8975948522776316,0.8983182524449319,0.8979565523612818,154,105
0.00947,0.8981703228278569,0.8976926853215513,0.8979315040747041,146,97
0.009493,0.8981703228278569,0.8976926853215513,0.8979315040747041,146,97
0.008763,0.8985355377888173,0.8972323419063672,0.8978839398475923,156,106
0.012887,0.9220458878223353,0.873643932385838,0.8978449101040866,116,66
0.012964,0.9220458878223353,0.873643932385838,0.8978449101040866,116,66
0.011977,0.9138708414872798,0.8817829457364341,0.897826893611857,125,72
0.008738,0.8982178472624333,0.8972323419063672,0.8977250945844002,157,106
0.014604,0.9296032479654904,0.8657842157842157,0.897693731874853,106,55
0.013552,0.9267365821419875,0.8685958397488149,0.8976662109454012,111,61
0.008977,0.8982588340500519,0.8968950512574674,0.8975769426537596,153,104
0.011058,0.909999079980373,0.8851414322057378,0.8975702560930554,128,74
0.011159,0.909999079980373,0.8851414322057378,0.8975702560930554,128,74
0.009014,0.8980759058450145,0.8968950512574674,0.897485478551241,152,104
0.009089,0.8980759058450145,0.8968950512574674,0.897485478551241,152,104
0.009518,0.8981703228278569,0.8967748969235648,0.8974726098757109,146,96
0.008815,0.8975948522776316,0.8972323419063672,0.8974135970919994,154,106
0.00885,0.8975948522776316,0.8972323419063672,0.8974135970919994,154,106
0.018514,0.9546769070307686,0.840051059879313,0.8973639834550408,79,23
0.018526,0.9546769070307686,0.840051059879313,0.8973639834550408,79,23
0.009555,0.8982173583866748,0.8964155098906872,0.897316434138681,145,94
0.00959,0.8982173583866748,0.8964155098906872,0.897316434138681,145,94
0.009598,0.8982173583866748,0.8964145889140738,0.8973159736503743,145,92
0.00952,0.8981703228278569,0.8964155098906872,0.897292916359272,146,94
0.011324,0.909999079980373,0.8841993826688095,0.8970992313245912,128,73
0.006675,0.8955745879311141,0.8984342128989601,0.897004400415037,179,131
0.006685,0.8955745879311141,0.8984342128989601,0.897004400415037,179,131
0.013341,0.923107623851497,0.8708636836628512,0.8969856537571741,114,62
0.011718,0.9121076442330115,0.8817829457364341,0.8969452949847228,126,72
0.011869,0.9121076442330115,0.8817829457364341,0.8969452949847228,126,72
0.012804,0.9212470980610142,0.872636815920398,0.8969419569907061,119,67
0.00667,0.8942433643571183,0.8996342737722048,0.8969388190646616,180,132
0.013367,0.9229557864466544,0.8708636836628512,0.8969097350547528,113,62
0.009592,0.8982173583866748,0.8955846646671155,0.8969010115268952,145,93
0.010973,0.9042886949635247,0.8894785984569267,0.8968836467102257,129,76
0.012882,0.9199900423201394,0.873643932385838,0.8968169873529888,117,66
0.012067,0.9138708414872798,0.8797450128278967,0.8968079271575883,125,71
0.006738,0.8964877494463189,0.8966585949041288,0.8965731721752239,178,129
0.006646,0.8942433643571183,0.8988818199344515,0.8965625921457849,180,133
0.014675,0.9296032479654904,0.8635085222459422,0.8965558851057163,106,54
0.012817,0.920418046153086,0.872636815920398,0.8965274310367419,118,67
0.013247,0.9221351533535558,0.8708636836628512,0.8964994185082035,115,62
0.013302,0.9221351533535558,0.8708636836628512,0.8964994185082035,115,62
0.010227,0.8999783189997832,0.8930165679457465,0.8964974434727648,137,88
0.010244,0.8999783189997832,0.8930165679457465,0.8964974434727648,137,88
0.006708,0.8955745879311141,0.8974132062627639,0.8964938970969389,179,130
0.013142,0.9221351533535558,0.8707727377654664,0.8964539455595111,115,64
0.013059,0.9220458878223353,0.8707727377654664,0.8964093127939008,116,64
0.016167,0.9427673603956316,0.8500107735401853,0.8963890669679084,92,42
0.006923,0.8942807321411852,0.8983914990186457,0.8963361155799154,176,128
0.009612,0.8976057937299213,0.8947510822510822,0.8961784379905018,144,91
0.009697,0.8976057937299213,0.8947510822510822,0.8961784379905018,144,91
